,Mkt-RF,SMB,HML,RMW,CMA,RF
20181123,-0.55,0.75,-0.6,0.31,-0.05,0.008
20181126,1.62,-0.7,-0.2,-0.41,-0.74,0.008
20181127,0.11,-1.04,0.27,0.6,0.1,0.008
20181128,2.42,0.3,-1.17,0.13,-0.94,0.008
20181129,-0.22,-0.21,-0.1,-0.48,0.03,0.008
20181130,0.78,-0.37,-0.45,0.26,-0.24,0.008
20181203,1.13,-0.12,-0.79,-0.28,-0.58,0.01
20181204,-3.45,-1.03,-0.18,-0.14,0.91,0.01
20181206,-0.16,-0.06,-1.04,0.15,-0.3,0.01
20181207,-2.36,0.26,1.33,-0.52,0.61,0.01
20181210,0.1,-0.39,-1.65,0.32,-0.3,0.01
20181211,-0.08,-0.15,-0.39,0.17,-0.07,0.01
20181212,0.68,0.49,-0.2,-0.23,-0.12,0.01
20181213,-0.26,-1.54,-0.18,0.19,0.03,0.01
20181214,-1.89,0.08,0.51,-0.23,0.6,0.01
20181217,-2.13,-0.14,1.03,0.27,0.22,0.01
20181218,-0.03,-0.05,-0.58,0.94,-0.47,0.01
20181219,-1.58,-0.6,0.04,-0.38,0.42,0.01
20181220,-1.62,-0.13,0.97,0.61,-0.06,0.01
20181221,-2.17,-0.54,0.78,0.06,0.66,0.01
20181224,-2.55,0.91,-0.46,-0.36,-0.36,0.01
20181226,5.06,-0.18,-1.01,-0.19,-1.07,0.01
20181227,0.78,-0.7,-0.14,-0.13,0.1,0.01
20181228,-0.03,0.74,0.23,-0.35,-0.07,0.01
20181231,0.9,-0.13,-0.46,-0.09,-0.12,0.01
20190102,0.23,0.72,1.1,-0.12,0.26,0.01
20190103,-2.45,0.52,1.21,-0.25,0.91,0.01
20190104,3.55,0.37,-0.7,-0.08,-0.58,0.01
20190107,0.94,0.84,-0.77,-0.69,-0.41,0.01
20190108,1.01,0.45,-0.64,0.36,-0.09,0.01
20190109,0.56,0.5,0.09,0.1,-0.18,0.01
20190110,0.42,-0.01,-0.44,-0.06,-0.04,0.01
20190111,-0.01,0.21,0.22,0.24,0.25,0.01
20190114,-0.6,-0.46,0.95,0.22,0.0,0.01
20190115,1.06,-0.13,-0.87,-0.31,-0.57,0.01
20190116,0.28,0.25,0.92,-0.12,-0.24,0.01
20190117,0.75,0.08,-0.25,0.07,-0.01,0.01
20190118,1.29,-0.28,0.12,0.19,-0.25,0.01
20190122,-1.53,-0.36,0.33,0.23,0.33,0.01
20190123,0.15,-0.41,-0.15,0.36,0.28,0.01
20190124,0.23,0.47,-0.02,-0.11,-0.2,0.01
20190125,0.9,0.41,-0.34,-0.36,-0.56,0.01
20190128,-0.8,-0.08,0.64,0.25,0.18,0.01
20190129,-0.19,0.02,0.18,0.02,0.49,0.01
20190130,1.51,-0.32,-0.95,-0.18,-0.88,0.01
20190131,0.92,-0.04,-1.07,-0.35,-0.02,0.01
20190201,0.14,-0.17,0.4,-0.77,0.3,0.01
20190204,0.72,0.42,-0.47,0.19,-0.21,0.01
20190205,0.43,-0.12,-0.59,0.6,-0.34,0.01
20190206,-0.22,-0.03,0.07,-0.12,0.06,0.01
